Sensor id,Day,Date,Hour,PM,Period,Calc,Value
14558,3,,2,PM2.5,weekly,mean,25.927142857142854
14558,3,,3,PM10,weekly,mean,40.300000000000004
14558,3,,3,PM2.5,weekly,mean,26.09
14558,3,,4,PM10,weekly,mean,41.21714285714285
14558,3,,4,PM2.5,weekly,mean,26.907142857142855
14558,3,,5,PM10,weekly,mean,44.43
14558,3,,5,PM2.5,weekly,mean,29.34
14558,3,,6,PM10,weekly,mean,44.78857142857142
14558,3,,6,PM2.5,weekly,mean,29.745714285714286
14558,3,,7,PM10,weekly,mean,45.05714285714286
14558,3,,7,PM2.5,weekly,mean,31.474285714285713
14558,3,,8,PM10,weekly,mean,45.17714285714286
14558,3,,8,PM2.5,weekly,mean,32.47571428571428
14558,3,,9,PM10,weekly,mean,35.182857142857145
14558,3,,9,PM2.5,weekly,mean,24.42142857142857
14558,3,,10,PM10,weekly,mean,42.46714285714285
14558,3,,10,PM2.5,weekly,mean,30.687142857142856
14558,3,,11,PM10,weekly,mean,53.80428571428571
14558,3,,11,PM2.5,weekly,mean,41.04285714285714
14558,3,,12,PM10,weekly,mean,82.01285714285713
14558,3,,12,PM2.5,weekly,mean,69.22857142857143
14558,3,,13,PM10,weekly,mean,87.2
14558,3,,13,PM2.5,weekly,mean,74.90428571428572
14558,3,,14,PM10,weekly,mean,72.6557142857143
14558,3,,14,PM2.5,weekly,mean,61.14857142857142
14558,3,,15,PM10,weekly,mean,51.120000000000005
14558,3,,15,PM2.5,weekly,mean,40.53142857142858
14558,3,,16,PM10,weekly,mean,46.34142857142857
14558,3,,16,PM2.5,weekly,mean,35.652857142857144
14558,3,,17,PM10,weekly,mean,58.28857142857142
14558,3,,17,PM2.5,weekly,mean,48.23428571428571
14558,3,,18,PM10,weekly,mean,60.89714285714286
14558,3,,18,PM2.5,weekly,mean,50.67714285714286
14558,3,,19,PM10,weekly,mean,76.10571428571428
14558,3,,19,PM2.5,weekly,mean,65.21714285714286
14558,3,,20,PM10,weekly,mean,86.12714285714286
14558,3,,20,PM2.5,weekly,mean,74.97285714285714
14558,3,,21,PM10,weekly,mean,73.25428571428571
14558,3,,21,PM2.5,weekly,mean,61.69428571428572
14558,3,,22,PM10,weekly,mean,49.69
14558,3,,22,PM2.5,weekly,mean,38.96714285714285
14558,3,,23,PM10,weekly,mean,36.23285714285714
14558,3,,23,PM2.5,weekly,mean,26.005714285714284
14558,4,,0,PM10,weekly,mean,31.22
14558,4,,0,PM2.5,weekly,mean,22.592000000000002
14558,4,,1,PM10,weekly,mean,25.53
14558,4,,1,PM2.5,weekly,mean,17.854000000000003
14558,4,,2,PM10,weekly,mean,26.43166666666667
14558,4,,2,PM2.5,weekly,mean,17.76
14558,4,,3,PM10,weekly,mean,24.06833333333333
14558,4,,3,PM2.5,weekly,mean,16.356666666666666
14558,4,,4,PM10,weekly,mean,23.523333333333337
14558,4,,4,PM2.5,weekly,mean,15.976666666666668
14558,4,,5,PM10,weekly,mean,23.575
14558,4,,5,PM2.5,weekly,mean,15.785000000000002
14558,4,,6,PM10,weekly,mean,23.808333333333334
14558,4,,6,PM2.5,weekly,mean,15.846666666666666
14558,4,,7,PM10,weekly,mean,31.526666666666667
14558,4,,7,PM2.5,weekly,mean,22.185
14558,4,,8,PM10,weekly,mean,41.431666666666665
14558,4,,8,PM2.5,weekly,mean,30.191666666666666
14558,4,,9,PM10,weekly,mean,36.666666666666664
14558,4,,9,PM2.5,weekly,mean,25.986666666666668
14558,4,,10,PM10,weekly,mean,39.67333333333333
14558,4,,10,PM2.5,weekly,mean,29.03333333333333
14558,4,,11,PM10,weekly,mean,39.660000000000004
14558,4,,11,PM2.5,weekly,mean,28.721666666666664
14558,4,,12,PM10,weekly,mean,56.60333333333333
14558,4,,12,PM2.5,weekly,mean,46.303333333333335
14558,4,,13,PM10,weekly,mean,74.50333333333333
14558,4,,13,PM2.5,weekly,mean,63.778333333333336
14558,4,,14,PM10,weekly,mean,72.065
14558,4,,14,PM2.5,weekly,mean,61.98833333333334
14558,4,,15,PM10,weekly,mean,66.91000000000001
14558,4,,15,PM2.5,weekly,mean,57.815
14558,4,,16,PM10,weekly,mean,56.58833333333333
14558,4,,16,PM2.5,weekly,mean,45.69499999999999
14558,4,,17,PM10,weekly,mean,60.00833333333333
14558,4,,17,PM2.5,weekly,mean,49.76666666666667
14558,4,,18,PM10,weekly,mean,77.40833333333333
14558,4,,18,PM2.5,weekly,mean,66.89666666666666
14558,4,,19,PM10,weekly,mean,117.00333333333333
14558,4,,19,PM2.5,weekly,mean,103.685
14558,4,,20,PM10,weekly,mean,130.25833333333335
14558,4,,20,PM2.5,weekly,mean,115.29666666666667
14558,4,,21,PM10,weekly,mean,105.58833333333332
14558,4,,21,PM2.5,weekly,mean,93.58333333333333
14558,4,,22,PM10,weekly,mean,76.94500000000001
14558,4,,22,PM2.5,weekly,mean,65.92166666666667
14558,4,,23,PM10,weekly,mean,51.92666666666667
14558,4,,23,PM2.5,weekly,mean,41.14166666666667
14558,5,,0,PM10,weekly,mean,38.065
14558,5,,0,PM2.5,weekly,mean,27.653333333333336
14558,5,,1,PM10,weekly,mean,30.245
14558,5,,1,PM2.5,weekly,mean,21.296666666666667
14558,5,,2,PM10,weekly,mean,26.441666666666666
14558,5,,2,PM2.5,weekly,mean,18.036666666666665
14558,5,,3,PM10,weekly,mean,26.64
14558,5,,3,PM2.5,weekly,mean,17.846666666666668
14558,5,,4,PM10,weekly,mean,27.186666666666667
14558,5,,4,PM2.5,weekly,mean,18.015
14558,5,,5,PM10,weekly,mean,26.083333333333332
14558,5,,5,PM2.5,weekly,mean,17.28
14558,5,,6,PM10,weekly,mean,28.035
14558,5,,6,PM2.5,weekly,mean,18.646666666666665
14558,5,,7,PM10,weekly,mean,46.083333333333336
14558,5,,7,PM2.5,weekly,mean,37.45166666666666
14558,5,,8,PM10,weekly,mean,37.17166666666667
14558,5,,8,PM2.5,weekly,mean,27.713333333333335
14558,5,,9,PM10,weekly,mean,44.324999999999996
14558,5,,9,PM2.5,weekly,mean,33.045
14558,5,,10,PM10,weekly,mean,40.391666666666666
14558,5,,10,PM2.5,weekly,mean,28.82166666666667
14558,5,,11,PM10,weekly,mean,44.78
14558,5,,11,PM2.5,weekly,mean,33.07333333333333
14558,5,,12,PM10,weekly,mean,68.17
14558,5,,12,PM2.5,weekly,mean,58.07333333333333
14558,5,,13,PM10,weekly,mean,84.93666666666667
14558,5,,13,PM2.5,weekly,mean,75.54166666666667
14558,5,,14,PM10,weekly,mean,97.76333333333334
14558,5,,14,PM2.5,weekly,mean,88.39166666666667
14558,5,,15,PM10,weekly,mean,86.695
14558,5,,15,PM2.5,weekly,mean,77.06
14558,5,,16,PM10,weekly,mean,74.455
14558,5,,16,PM2.5,weekly,mean,64.20166666666667
14558,5,,17,PM10,weekly,mean,76.925
14558,5,,17,PM2.5,weekly,mean,65.73666666666666
14558,5,,18,PM10,weekly,mean,103.995
14558,5,,18,PM2.5,weekly,mean,94.55499999999999
14558,5,,19,PM10,weekly,mean,112.65666666666668
14558,5,,19,PM2.5,weekly,mean,101.60333333333334
14558,5,,20,PM10,weekly,mean,151.17166666666665
14558,5,,20,PM2.5,weekly,mean,134.14833333333334
14558,5,,21,PM10,weekly,mean,142.19833333333332
14558,5,,21,PM2.5,weekly,mean,127.58333333333333
14558,5,,22,PM10,weekly,mean,102.515
14558,5,,22,PM2.5,weekly,mean,90.47666666666667
14558,5,,23,PM10,weekly,mean,64.17666666666666
14558,5,,23,PM2.5,weekly,mean,52.345
14558,6,,0,PM10,weekly,mean,48.43333333333334
14558,6,,0,PM2.5,weekly,mean,36.42666666666667
14558,6,,1,PM10,weekly,mean,34.49
14558,6,,1,PM2.5,weekly,mean,24.850000000000005
14558,6,,2,PM10,weekly,mean,26.599999999999998
14558,6,,2,PM2.5,weekly,mean,18.255
14558,6,,3,PM10,weekly,mean,23.316666666666666
14558,6,,3,PM2.5,weekly,mean,15.595
14558,6,,4,PM10,weekly,mean,21.615
14558,6,,4,PM2.5,weekly,mean,14.33
14558,6,,5,PM10,weekly,mean,20.741666666666664
14558,6,,5,PM2.5,weekly,mean,13.479999999999999
14558,6,,6,PM10,weekly,mean,23.13
14558,6,,6,PM2.5,weekly,mean,15.525
14558,6,,7,PM10,weekly,mean,30.771666666666665
14558,6,,7,PM2.5,weekly,mean,21.78
14558,6,,8,PM10,weekly,mean,47.14166666666667
14558,6,,8,PM2.5,weekly,mean,33.71666666666666
14558,6,,9,PM10,weekly,mean,69.645
14558,6,,9,PM2.5,weekly,mean,54.711666666666666
14558,6,,10,PM10,weekly,mean,51.98499999999999
14558,6,,10,PM2.5,weekly,mean,38.775
14558,6,,11,PM10,weekly,mean,57.76666666666667
14558,6,,11,PM2.5,weekly,mean,45.218333333333334
14558,6,,12,PM10,weekly,mean,82.86166666666666
14558,6,,12,PM2.5,weekly,mean,69.29833333333333
14558,6,,13,PM10,weekly,mean,101.435
14558,6,,13,PM2.5,weekly,mean,89.23166666666667
14558,6,,14,PM10,weekly,mean,100.72500000000001
14558,6,,14,PM2.5,weekly,mean,88.76333333333334
14558,6,,15,PM10,weekly,mean,106.675
14558,6,,15,PM2.5,weekly,mean,94.21333333333332
14558,6,,16,PM10,weekly,mean,88.54
14558,6,,16,PM2.5,weekly,mean,79.41333333333334
14558,6,,17,PM10,weekly,mean,79.31166666666667
14558,6,,17,PM2.5,weekly,mean,70.08
14558,6,,18,PM10,weekly,mean,86.73166666666667
14558,6,,18,PM2.5,weekly,mean,75.77499999999999
14558,6,,19,PM10,weekly,mean,112.05666666666667
14558,6,,19,PM2.5,weekly,mean,96.97500000000001
14558,6,,20,PM10,weekly,mean,115.32666666666667
14558,6,,20,PM2.5,weekly,mean,101.39999999999999
14558,6,,21,PM10,weekly,mean,109.19666666666667
14558,6,,21,PM2.5,weekly,mean,95.50166666666667
14558,6,,22,PM10,weekly,mean,76.23166666666667
14558,6,,22,PM2.5,weekly,mean,64.315
14558,6,,23,PM10,weekly,mean,52.546666666666674
14558,6,,23,PM2.5,weekly,mean,41.151666666666664
14558,7,,0,PM10,weekly,mean,41.43333333333333
14558,7,,0,PM2.5,weekly,mean,29.42
14558,7,,1,PM10,weekly,mean,30.547142857142855
14558,7,,1,PM2.5,weekly,mean,21.58857142857143
14558,7,,2,PM10,weekly,mean,24.035
14558,7,,2,PM2.5,weekly,mean,16.025000000000002
14558,7,,3,PM10,weekly,mean,22.491666666666664
14558,7,,3,PM2.5,weekly,mean,14.565
14558,7,,4,PM10,weekly,mean,21.536666666666665
14558,7,,4,PM2.5,weekly,mean,13.58
14558,7,,5,PM10,weekly,mean,21.205
14558,7,,5,PM2.5,weekly,mean,13.214999999999998
14558,7,,6,PM10,weekly,mean,20.931666666666665
14558,7,,6,PM2.5,weekly,mean,12.873333333333333
14558,7,,7,PM10,weekly,mean,20.43166666666667
14558,7,,7,PM2.5,weekly,mean,12.468333333333334
14558,7,,8,PM10,weekly,mean,33.45666666666667
14558,7,,8,PM2.5,weekly,mean,23.92
14558,7,,9,PM10,weekly,mean,29.525000000000002
14558,7,,9,PM2.5,weekly,mean,19.865
14558,7,,10,PM10,weekly,mean,36.836666666666666
14558,7,,10,PM2.5,weekly,mean,26.643333333333334
14558,7,,11,PM10,weekly,mean,61.13833333333333
14558,7,,11,PM2.5,weekly,mean,48.175000000000004
14558,7,,12,PM10,weekly,mean,81.76166666666667
14558,7,,12,PM2.5,weekly,mean,67.815
14558,7,,13,PM10,weekly,mean,117.485
14558,7,,13,PM2.5,weekly,mean,103.85333333333334
14558,7,,14,PM10,weekly,mean,123.24333333333334
14558,7,,14,PM2.5,weekly,mean,110.85666666666667
14558,7,,15,PM10,weekly,mean,102.97166666666668
14558,7,,15,PM2.5,weekly,mean,91.07
14558,7,,16,PM10,weekly,mean,82.64166666666667
14558,7,,16,PM2.5,weekly,mean,72.97
14558,7,,17,PM10,weekly,mean,79.585
14558,7,,17,PM2.5,weekly,mean,69.75166666666667
14558,7,,18,PM10,weekly,mean,81.86666666666666
14558,7,,18,PM2.5,weekly,mean,70.22333333333333
14558,7,,19,PM10,weekly,mean,78.35666666666667
14558,7,,19,PM2.5,weekly,mean,67.41833333333334
14558,7,,20,PM10,weekly,mean,75.29
14558,7,,20,PM2.5,weekly,mean,63.028333333333336
14558,7,,21,PM10,weekly,mean,54.68666666666667
14558,7,,21,PM2.5,weekly,mean,43.413333333333334
14558,7,,22,PM10,weekly,mean,35.77
14558,7,,22,PM2.5,weekly,mean,26.08666666666667
14558,7,,23,PM10,weekly,mean,37.69166666666667
14558,7,,23,PM2.5,weekly,mean,26.691666666666663
14878,1,,0,PM10,weekly,mean,21.12
14878,1,,0,PM2.5,weekly,mean,13.185
14878,1,,1,PM10,weekly,mean,17.203333333333333
14878,1,,1,PM2.5,weekly,mean,9.926666666666668
14878,1,,2,PM10,weekly,mean,15.828333333333333
14878,1,,2,PM2.5,weekly,mean,8.871666666666666
14878,1,,3,PM10,weekly,mean,14.719999999999999
14878,1,,3,PM2.5,weekly,mean,7.863333333333333
14878,1,,4,PM10,weekly,mean,12.508333333333333
14878,1,,4,PM2.5,weekly,mean,5.651666666666667
14878,1,,5,PM10,weekly,mean,13.136666666666668
14878,1,,5,PM2.5,weekly,mean,6.073333333333333
14878,1,,6,PM10,weekly,mean,16.176666666666666
14878,1,,6,PM2.5,weekly,mean,8.658333333333333
14878,1,,7,PM10,weekly,mean,16.265
14878,1,,7,PM2.5,weekly,mean,8.646666666666667
14878,1,,8,PM10,weekly,mean,38.943333333333335
14878,1,,8,PM2.5,weekly,mean,31.52333333333333
14878,1,,9,PM10,weekly,mean,39.74
14878,1,,9,PM2.5,weekly,mean,30.900000000000002
14878,1,,10,PM10,weekly,mean,46.805
14878,1,,10,PM2.5,weekly,mean,37.071666666666665
14878,1,,11,PM10,weekly,mean,81.93666666666667
14878,1,,11,PM2.5,weekly,mean,72.05
14878,1,,12,PM10,weekly,mean,126.06166666666667
14878,1,,12,PM2.5,weekly,mean,117.39333333333333
14878,1,,13,PM10,weekly,mean,96.855
14878,1,,13,PM2.5,weekly,mean,87.30666666666667
14878,1,,14,PM10,weekly,mean,110.50333333333333
14878,1,,14,PM2.5,weekly,mean,101.92
14878,1,,15,PM10,weekly,mean,95.45333333333333
14878,1,,15,PM2.5,weekly,mean,85.10333333333334
14878,1,,16,PM10,weekly,mean,122.61333333333334
14878,1,,16,PM2.5,weekly,mean,113.22500000000001
14878,1,,17,PM10,weekly,mean,93.77
14878,1,,17,PM2.5,weekly,mean,83.19333333333333
14878,1,,18,PM10,weekly,mean,97.31333333333333
14878,1,,18,PM2.5,weekly,mean,86.62333333333333
14878,1,,19,PM10,weekly,mean,91.78166666666668
14878,1,,19,PM2.5,weekly,mean,81.05166666666666
14878,1,,20,PM10,weekly,mean,89.93
14878,1,,20,PM2.5,weekly,mean,79.82333333333334
14878,1,,21,PM10,weekly,mean,67.39166666666667
14878,1,,21,PM2.5,weekly,mean,57.800000000000004
14878,1,,22,PM10,weekly,mean,42.14833333333333
14878,1,,22,PM2.5,weekly,mean,33.50666666666667
14878,1,,23,PM10,weekly,mean,26.916666666666668
14878,1,,23,PM2.5,weekly,mean,18.3
14878,2,,0,PM10,weekly,mean,17.115
14878,2,,0,PM2.5,weekly,mean,9.41
14878,2,,1,PM10,weekly,mean,15.193333333333333
14878,2,,1,PM2.5,weekly,mean,7.4750000000000005
14878,2,,2,PM10,weekly,mean,15.196666666666665
14878,2,,2,PM2.5,weekly,mean,7.521666666666667
14878,2,,3,PM10,weekly,mean,15.405
14878,2,,3,PM2.5,weekly,mean,7.605
14878,2,,4,PM10,weekly,mean,15.94
14878,2,,4,PM2.5,weekly,mean,8.038333333333332
14878,2,,5,PM10,weekly,mean,17.245
14878,2,,5,PM2.5,weekly,mean,9.295
14878,2,,6,PM10,weekly,mean,17.169999999999998
14878,2,,6,PM2.5,weekly,mean,9.245
14878,2,,7,PM10,weekly,mean,17.455000000000002
14878,2,,7,PM2.5,weekly,mean,9.398333333333333
14878,2,,8,PM10,weekly,mean,22.64
14878,2,,8,PM2.5,weekly,mean,14.43
14878,2,,9,PM10,weekly,mean,26.608333333333334
14878,2,,9,PM2.5,weekly,mean,17.503333333333334
14878,2,,10,PM10,weekly,mean,53.806666666666665
14878,2,,10,PM2.5,weekly,mean,44.46666666666667
14878,2,,11,PM10,weekly,mean,66.36666666666666
14878,2,,11,PM2.5,weekly,mean,56.52166666666667
14878,2,,12,PM10,weekly,mean,90.08
14878,2,,12,PM2.5,weekly,mean,79.85571428571428
14878,2,,13,PM10,weekly,mean,125.52857142857144
14878,2,,13,PM2.5,weekly,mean,117.50571428571428
14878,2,,14,PM10,weekly,mean,88.59714285714286
14878,2,,14,PM2.5,weekly,mean,79.38571428571429
14878,2,,15,PM10,weekly,mean,100.32428571428571
14878,2,,15,PM2.5,weekly,mean,90.07142857142857
14878,2,,16,PM10,weekly,mean,77.26142857142857
14878,2,,16,PM2.5,weekly,mean,67.22428571428573
14878,2,,17,PM10,weekly,mean,91.68714285714286
14878,2,,17,PM2.5,weekly,mean,82.02714285714285
14878,2,,18,PM10,weekly,mean,127.59857142857143
14878,2,,18,PM2.5,weekly,mean,118.63428571428572
14878,2,,19,PM10,weekly,mean,146.28428571428572
14878,2,,19,PM2.5,weekly,mean,135.20857142857145
14878,2,,20,PM10,weekly,mean,109.49857142857142
14878,2,,20,PM2.5,weekly,mean,99.25857142857141
14878,2,,21,PM10,weekly,mean,119.45285714285714
14878,2,,21,PM2.5,weekly,mean,110.00857142857141
14878,2,,22,PM10,weekly,mean,68.45285714285714
14878,2,,22,PM2.5,weekly,mean,57.86142857142857
14878,2,,23,PM10,weekly,mean,35.59428571428571
14878,2,,23,PM2.5,weekly,mean,26.224285714285713
14878,3,,0,PM10,weekly,mean,29.228571428571428
14878,3,,0,PM2.5,weekly,mean,20.467142857142854
14878,3,,1,PM10,weekly,mean,24.415714285714284
14878,3,,1,PM2.5,weekly,mean,16.20285714285714
14878,3,,2,PM10,weekly,mean,21.834285714285716
14878,3,,2,PM2.5,weekly,mean,13.695714285714287
14878,3,,3,PM10,weekly,mean,21.225714285714282
14878,3,,3,PM2.5,weekly,mean,13.155714285714286
14878,3,,4,PM10,weekly,mean,20.67142857142857
14878,3,,4,PM2.5,weekly,mean,12.709999999999999
14878,3,,5,PM10,weekly,mean,21.06857142857143
14878,3,,5,PM2.5,weekly,mean,13.034285714285716
